game_day,target_player,target_nationality,target_position,total_steps,step_number,new_constraint,club,active_constraints,active_clubs,valid_players
1,Ronaldo,Brazil,Attack - Centre-Forward,4,1,Played for Real Madrid,Real Madrid,"[""Played for Real Madrid""]","[""Real Madrid""]","[""Achraf Hakimi"", ""Adrián González"", ""Albano Bizzarri"", ""Albert Celades"", ""Alberto Marcos"", ""Alberto Soro"", ""Alphonse Areola"", ""Andriy Lunin"", ""Angel Di Maria"", ""Antonio Adán"", ""Antonio Blanco"", ""Antonio Núñez"", ""Antonio Rüdiger"", ""Arda Güler"", ""Arjen Robben"", ""Asier Illarramendi"", ""Aurélien Tchouaméni"", ""Borja Fernández"", ""Borja Mayoral"", ""Brahim Díaz"", ""Burgui"", ""Carlos Cano"", ""Carlos Diogo"", ""Carlos Sánchez"", ""Casemiro"", ""Chicharito"", ""Christian Karembeu"", ""Christian Panucci"", ""Cicinho"", ""Clarence Seedorf"", ""Claude Makélélé"", ""Cristiano Ronaldo"", ""César Sánchez"", ""Dani Carvajal"", ""Dani Ceballos"", ""Dani García"", ""Dani Gómez"", ""Dani Parejo"", ""Daniel Carvajal"", ""Danilo"", ""David Aganzo"", ""David Alaba"", ""David Beckham"", ""David Cobeño"", ""Davor Suker"", ""Dean Huijsen"", ""Dejan Petkovic"", ""Denis Cheryshev"", ""Diego Llorente"", ""Diego López"", ""Eden Hazard"", ""Edgar"", ""Eduardo Camavinga"", ""Emerson"", ""Emmanuel Adebayor"", ""Endrick"", ""Esteban Cambiasso"", ""Esteban Granero"", ""Ezequiel Garay"", ""Fabinho"", ""Fabio Cannavaro"", ""Federico Valverde"", ""Ferland Mendy"", ""Fernando"", ""Fernando Gago"", ""Fernando Hierro"", ""Fernando Morientes"", ""Fernando Pacheco"", ""Fernando Redondo"", ""Fernando Sanz"", ""Fran García"", ""Francisco Pavón"", ""Franco Mastantuono"", ""Fábio Coentrão"", ""Gabriel Heinze"", ""García Calvo"", ""Gareth Bale"", ""Gheorghe Hagi"", ""Gonzalo García"", ""Gonzalo Higuaín"", ""Guti"", ""Hugo Sánchez"", ""Iker Casillas"", ""Isco"", ""Iván Helguera"", ""Iván Zamorano"", ""Jaime"", ""James Rodríguez"", ""Javi García"", ""Javi Sánchez"", ""Javier Balboa"", ""Javier Hernández"", ""Javier Portillo"", ""Javier Saviola"", ""Jerzy Dudek"", ""Jesé"", ""Jesús Fernández"", ""Jesús Vallejo"", ""Jonathan Woodgate"", ""Jordi López"", ""Jorge de Frutos"", ""Joselu"", ""José Antonio Reyes"", ""José Callejón"", ""José Manuel Jurado"", ""Juanfran Torres"", ""Juanmi"", ""Juanmi Latasa"", ""Jude Bellingham"", ""Julien Faubert"", ""Júlio Baptista"", ""Kaká"", ""Karim Benzema"", ""Kepa Arrizabalaga"", ""Keylor Navas"", ""Kiko Casilla"", ""Klaas-Jan Huntelaar"", ""Kylian Mbappé"", ""Lassana Diarra"", ""Luca Zidane"", ""Lucas Silva"", ""Lucas Torró"", ""Lucas Vázquez"", ""Luis Enrique"", ""Luis Figo"", ""Luis Liendo"", ""Luka Jović"", ""Luka Modrić"", ""Luís Figo"", ""Mahamadou Diarra"", ""Manuel Canabal"", ""Marcelo"", ""Marco Asensio"", ""Marcos Llorente"", ""Mariano Díaz"", ""Mario Martín"", ""Martin Ødegaard"", ""Mateo Kovacic"", ""Mesut Özil"", ""Michael Essien"", ""Michael Laudrup"", ""Michael Owen"", ""Miguel Gutiérrez"", ""Miguel Torres"", ""Míchel Salgado"", ""Nacho Fernández"", ""Nicolas Anelka"", ""Njitap Geremi"", ""Nuri Şahin"", ""Omar Mascarell"", ""Pablo García"", ""Paul Breitner"", ""Pedro León"", ""Pedro Munitis"", ""Pepe"", ""Perica Ognjenovic"", ""Philipp Lienhart"", ""Rafa Marín"", ""Rafael van der Vaart"", ""Raphaël Varane"", ""Raúl"", ""Raúl Albiol"", ""Raúl Asencio"", ""Raúl Bravo"", ""Raúl de Tomás"", ""Reinier"", ""Ricardo Carvalho"", ""Robert Jarni"", ""Roberto Carlos"", ""Roberto Rojas"", ""Roberto Soldado"", ""Robinho"", ""Rodrygo"", ""Ronaldo"", ""Royston Drenthe"", ""Rubén González"", ""Rubén Yáñez"", ""Rubén de la Red"", ""Ruud van Nistelrooy"", ""Sami Khedira"", ""Samuel Eto'o"", ""Santi Aragón"", ""Santiago Solari"", ""Sergio Canales"", ""Sergio Ramos"", ""Sergio Reguilón"", ""Steve McManaman"", ""Sávio"", ""Takefusa Kubo"", ""Theo Hernández"", ""Thiago Pitarch"", ""Thibaut Courtois"", ""Thomas Gravesen"", ""Tomás Mejías"", ""Toni Kroos"", ""Trent Alexander-Arnold"", ""Valdo"", ""Vinicius Junior"", ""Víctor Chust"", ""Walter Samuel"", ""Wesley Sneijder"", ""Xabi Alonso"", ""Zinedine Zidane"", ""Zinédine Zidane"", ""Zé Roberto"", ""Álvaro Arbeloa"", ""Álvaro Carreras"", ""Álvaro Medrán"", ""Álvaro Mejía"", ""Álvaro Morata"", ""Álvaro Negredo"", ""Álvaro Odriozola"", ""Álvaro Rodríguez"", ""Ángel Di María"", ""Éder Militão"", ""Óscar Rodríguez""]"
1,Ronaldo,Brazil,Attack - Centre-Forward,4,2,Played for Inter,Inter,"[""Played for Real Madrid"", ""Played for Inter""]","[""Real Madrid"", ""Inter""]","[""Achraf Hakimi"", ""Christian Panucci"", ""Clarence Seedorf"", ""Esteban Cambiasso"", ""Fabio Cannavaro"", ""Iván Zamorano"", ""Julien Faubert"", ""Luis Figo"", ""Luís Figo"", ""Mateo Kovacic"", ""Roberto Carlos"", ""Ronaldo"", ""Samuel Eto'o"", ""Santiago Solari"", ""Walter Samuel"", ""Wesley Sneijder""]"
1,Ronaldo,Brazil,Attack - Centre-Forward,4,3,Played for Barcelona,Barcelona,"[""Played for Real Madrid"", ""Played for Inter"", ""Played for Barcelona""]","[""Real Madrid"", ""Inter"", ""Barcelona""]","[""Luis Figo"", ""Luís Figo"", ""Ronaldo"", ""Samuel Eto'o""]"
1,Ronaldo,Brazil,Attack - Centre-Forward,4,4,Played for AC Milan,AC Milan,"[""Played for Real Madrid"", ""Played for Inter"", ""Played for Barcelona"", ""Played for AC Milan""]","[""Real Madrid"", ""Inter"", ""Barcelona"", ""AC Milan""]","[""Ronaldo""]"
2,Bremer,Brazil,Defender,3,1,Played for Juventus,Juventus,"[""Played for Juventus""]","[""Juventus""]","[""Aaron Ramsey"", ""Abdoulay Konko"", ""Aboubacar Fofana"", ""Adrian Mutu"", ""Adriano Bonaiuti"", ""Adrien Rabiot"", ""Alberto Aquilani"", ""Alberto Brignoli"", ""Alberto Cerri"", ""Alberto Costa"", ""Alberto Masi"", ""Albin Ekdal"", ""Alen Bokšić"", ""Alessandro Birindelli"", ""Alessandro Dal Canto"", ""Alessandro Del Piero"", ""Alessandro Frara"", ""Alessandro Gamberini"", ""Alessandro La Vecchia"", ""Alessandro Matri"", ""Alessio Curcio"", ""Alessio Tacchinardi"", ""Alex Sandro"", ""Alexander Manninger"", ""Alyer López"", ""Amauri"", ""Anastasios Donis"", ""Andrea Barzagli"", ""Andrea Cambiaso"", ""Andrea De Paola"", ""Andrea Favilli"", ""Andrea Gentile"", ""Andrea Luci"", ""Andrea Masiello"", ""Andrea Pirlo"", ""Andrea Pisani"", ""Andrea Pozzato"", ""Andrea Rossi"", ""Andrea Schiavone"", ""Andrea Torta"", ""Andreas Isaksson"", ""Andreas Möller"", ""André Cuneaz"", ""Andrés Tello"", ""Angel Di Maria"", ""Angelo Ogbonna"", ""Angelo Peruzzi"", ""Antonio Cabrini"", ""Antonio Candreva"", ""Antonio Chimenti"", ""Antonio Conte"", ""Antonio Mirante"", ""Antonio Nocerino"", ""Arkadiusz Milik"", ""Armand Traoré"", ""Arthur Melo"", ""Arturo Vidal"", ""Athirson"", ""Benedikt Höwedes"", ""Benjamin Onwuachi"", ""Bernardo Gradilla"", ""Blaise Matuidi"", ""Bremer"", ""Carlo Ilari"", ""Carlo Pinsoglio"", ""Carlo Vecchione"", ""Carlos Alcaraz"", ""Carlos Tevez"", ""Christian Abbiati"", ""Christian Manfredini"", ""Christian Poulsen"", ""Christian Vieri"", ""Ciro Ferrara"", ""Ciro Immobile"", ""Claudio Marchisio"", ""Claudio Scarzanella"", ""Claudio Zappa"", ""Cristian Bunino"", ""Cristian Molinaro"", ""Cristian Pasquato"", ""Cristian Romero"", ""Cristian Zenoni"", ""Cristiano Ronaldo"", ""Cristiano Zanetti"", ""Dani Alves"", ""Daniel Osvaldo"", ""Daniele Gastaldello"", ""Daniele Rugani"", ""Danilo"", ""Dario Campagna"", ""Dario Del Fabro"", ""Dario Venitucci"", ""David Trezeguet"", ""Davide Baiocco"", ""Davide Borin"", ""Davide Cais"", ""Davide Chiumiento"", ""Davide Falcioni"", ""Davide Lanzafame"", ""Davide Massaro"", ""Dean Huijsen"", ""Dejan Kulusevski"", ""Denis Zakaria"", ""Dida"", ""Didier Deschamps"", ""Diego"", ""Dino Baggio"", ""Dino Zoff"", ""Domenico Berardi"", ""Domenico Criscito"", ""Donato Bottone"", ""Douglas Costa"", ""Douglas Luiz"", ""Dušan Vlahović"", ""Edgar Davids"", ""Edoardo Braiati"", ""Edoardo Goldaniga"", ""Edon Zhegrova"", ""Edwin van der Sar"", ""Elio De Silvestro"", ""Eljero Elia"", ""Elvis Kabashi"", ""Emanuele Belardi"", ""Emanuele Giaccherini"", ""Emerson"", ""Emil Audero"", ""Emil Holm"", ""Emiliano Moretti"", ""Emre Can"", ""Enrico Fantini"", ""Enzo Barrenechea"", ""Enzo Maresca"", ""Eric Lanini"", ""Eros Castelletto"", ""Fabio Cannavaro"", ""Fabio Grosso"", ""Fabio Miretti"", ""Fabio Quagliarella"", ""Fabián Carini"", ""Fabrizio Miccoli"", ""Facundo González"", ""Fausto Rossi"", ""Federico Balzaretti"", ""Federico Bernardeschi"", ""Federico Chiesa"", ""Federico Gatti"", ""Federico Giampaolo"", ""Federico Mattiello"", ""Federico Peluso"", ""Felice Piccolo"", ""Felipe Melo"", ""Ferdinando Del Sole"", ""Fernando Llorente"", ""Filip Kostić"", ""Filippo Boniperti"", ""Filippo Inzaghi"", ""Filippo Marricchi"", ""Filippo Ranocchia"", ""Filippo Romagna"", ""Francesco Cassata"", ""Francesco Margiotta"", ""Francesco Scardina"", ""Francesco Volpe"", ""Francisco Conceição"", ""Gabriel Pires"", ""Gaetano Scirea"", ""Giacomo Cipriani"", ""Giacomo Vrioni"", ""Giangiacomo Magnani"", ""Gianluca Frabotta"", ""Gianluca Luppi"", ""Gianluca Pessotto"", ""Gianluca Zambrotta"", ""Gianluigi Buffon"", ""Gianmarco Vannucchi"", ""Giorgio Chiellini"", ""Giorgio Merlano"", ""Giuliano Giannichedda"", ""Giuseppe Sculli"", ""Gladstone"", ""Gonzalo Higuaín"", ""Gregorio Luperini"", ""Guglielmo Stendardo"", ""Hans Nicolussi Caviglia"", ""Hasan Salihamidzic"", ""Hernanes"", ""Hördur Magnússon"", ""Ian Rush"", ""Igor Tudor"", ""Ivan Ergic"", ""James Troisi"", ""Jaroslav Sedivec"", ""Jean-Alain Boumsong"", ""Jess Kedwell Vanstrattan"", ""Jesus Garcia Tena"", ""Joel Untersee"", ""Jonas Rouhi"", ""Jonatan Binotto"", ""Jonathan David"", ""Jonathan Zebina"", ""Jorge Martínez"", ""João Cancelo"", ""João Mário"", ""Juan Cabal"", ""Juan Cuadrado"", ""Jérémie Boga"", ""Jürgen Kohler"", ""Kaio Jorge"", ""Kenan Yıldız"", ""Khéphren Thuram"", ""King Udoh"", ""Kingsley Coman"", ""Koni De Winter"", ""Kwadwo Asamoah"", ""Landry Bonnefoi"", ""Leandro Paredes"", ""Leandro Rinaudo"", ""Leonardo Bonucci"", ""Leonardo Mancuso"", ""Leonardo Spinazzola"", ""Lilian Thuram"", ""Lloyd Kelly"", ""Lorenzo Ariaudo"", ""Lorenzo Benucci"", ""Lorenzo Rosseti"", ""Lorenzo Squizzi"", ""Loïs Openda"", ""Luca Barlocco"", ""Luca Castiglia"", ""Luca Clemenza"", ""Luca Marrone"", ""Luca Pellegrini"", ""Luca Scicchitano"", ""Luca Toni"", ""Lúcio"", ""Mame Thiam"", ""Manolo Gabbiadini"", ""Manolo Portanova"", ""Manuel Giandonato"", ""Manuel Locatelli"", ""Manuele Blasi"", ""Marcel Büchel"", ""Marcelo Djaló"", ""Marcelo Estigarribia"", ""Marcelo Salas"", ""Marcelo Zalayeta"", ""Marco Borriello"", ""Marco Di Vaio"", ""Marco Duravia"", ""Marco Marchionni"", ""Marco Motta"", ""Marco Rigoni"", ""Marco Storari"", ""Marco Zamboni"", ""Marco Zanchi"", ""Mario Kirev"", ""Mario Lemina"", ""Mario Mandžukić"", ""Mark Iuliano"", ""Marko Pjaca"", ""Marley Aké"", ""Martín Cáceres"", ""Massimiliano Vieri"", ""Massimo Paci"", ""Matheus Pereira"", ""Matteo Brighi"", ""Matteo Cavagna"", ""Matteo Gerbaudo"", ""Matteo Paro"", ""Matteo Stoppa"", ""Matthijs de Ligt"", ""Mattia Bortolussi"", ""Mattia Caldara"", ""Mattia Cassani"", ""Mattia De Sciglio"", ""Mattia Perin"", ""Mattia Vitale"", ""Matías Soulé"", ""Mauricio Isla"", ""Mauro Camoranesi"", ""Mbaye Diagne"", ""Medhi Benatia"", ""Merih Demiral"", ""Michael Laudrup"", ""Michel Platini"", ""Michelangelo Rampulla"", ""Michele Cavion"", ""Michele Di Gregorio"", ""Michele Paolucci"", ""Michele Paramatti"", ""Michele Pazienza"", ""Michele Serena"", ""Milos Krasic"", ""Miralem Pjanić"", ""Mohamed Ihattaren"", ""Mohamed Sissoko"", ""Moise Kean"", ""Morgan De Sanctis"", ""Nazzareno Belfasti"", ""Neto"", ""Nicklas Bendtner"", ""Nico González"", ""Nico Hidalgo"", ""Nicola Amoruso"", ""Nicola Cosentini"", ""Nicola Leali"", ""Nicola Legrottaglie"", ""Nicola Mosti"", ""Nicolas Anelka"", ""Nicolò Curti"", ""Nicolò Fagioli"", ""Nicolò Pozzebon"", ""Nicolò Rovella"", ""Nicolò Savona"", ""Niko Bianconi"", ""Olivier Kapo"", ""Olof Mellberg"", ""Omar Milanetto"", ""Orlando Urbano"", ""Ouasim Bouy"", ""Paolo De Ceglie"", ""Paolo Di Canio"", ""Paolo Montero"", ""Patrice Evra"", ""Patrick Müller"", ""Patrick Vieira"", ""Paul Pogba"", ""Paulo Dybala"", ""Pavel Nedved"", ""Pavel Nedvěd"", ""Pedro Díaz"", ""Pierluigi Casiraghi"", ""Pierre Kalulu"", ""Pol García"", ""Pol Lirola"", ""Prince Gouano"", ""Radu Drăgușin"", ""Raffaele Alcibiade"", ""Raffaele Bianco"", ""Raffaele Palladino"", ""Randal Kolo Muani"", ""Renato Veiga"", ""Reto Ziegler"", ""Riccardo Maniero"", ""Riccardo Orsolini"", ""Richmond Boakye"", ""Robert Jarni"", ""Robert Kovac"", ""Roberto Baggio"", ""Roberto Crivello"", ""Roberto Merenda"", ""Roberto Pereyra"", ""Rodrigo Bentancur"", ""Rogério"", ""Rolando Mandragora"", ""Roman Macek"", ""Rubens Pasino"", ""Rubinho"", ""Rubén Olivera"", ""Rômulo"", ""Salvatore Aronica"", ""Salvatore Fresi"", ""Sami Khedira"", ""Samon Reider Rodríguez"", ""Samuel Iling-Junior"", ""Samuel Mbangula"", ""Sebastian Giovinco"", ""Sergio Almirón"", ""Sergio Porrini"", ""Simone Bentivoglio"", ""Simone Esposito"", ""Simone Ganz"", ""Simone Malatesta"", ""Simone Padoin"", ""Simone Pepe"", ""Simone Perrotta"", ""Simone Zaza"", ""Stefan Reuter"", ""Stefano Beltrame"", ""Stefano Di Berardino"", ""Stefano Gori"", ""Stefano Sturaro"", ""Stephan Lichtsteiner"", ""Stephen Appiah"", ""Sunday Oliseh"", ""Teun Koopmeiners"", ""Thierry Henry"", ""Tiago Djaló"", ""Tiago Mendes"", ""Timothy Nocchi"", ""Timothy Weah"", ""Tommaso Rocchi"", ""Tommaso Silvestri"", ""Tomás Guzmán"", ""Tomás Rincón"", ""Vajebah Sakor"", ""Valeri Bozhinov"", ""Vasilije Adžić"", ""Viktor Budyanskiy"", ""Vincent Péricard"", ""Vincenzo Fiorillo"", ""Vincenzo Iaquinta"", ""Vykintas Slivka"", ""Weston McKennie"", ""Wojciech Szczesny"", ""Younes Bnou Marzouk"", ""Zdenek Grygera"", ""Zinedine Zidane"", ""Zinédine Zidane"", ""Zlatan Ibrahimović"", ""Zoran Josipovic"", ""Álvaro Morata"", ""Ángel Di María""]"
2,Bremer,Brazil,Defender,3,2,Played for Atlético-MG,Atlético-MG,"[""Played for Juventus"", ""Played for Atlético-MG""]","[""Juventus"", ""Atlético-MG""]","[""Bremer"", ""Emerson"", ""Fabián Carini"", ""Lúcio"", ""Neto"", ""Rômulo""]"
2,Bremer,Brazil,Defender,3,3,Played for Torino,Torino,"[""Played for Juventus"", ""Played for Atlético-MG"", ""Played for Torino""]","[""Juventus"", ""Atlético-MG"", ""Torino""]","[""Bremer""]"
3,Mateus Fernandes,Portugal,Midfield,4,1,Played for Southampton,Southampton,"[""Played for Southampton""]","[""Southampton""]","[""Aaron Martin"", ""Aaron Ramsdale"", ""Adam Armstrong"", ""Adam Hammill"", ""Adam Lallana"", ""Ainsley Maitland-Niles"", ""Alaeddine Yahia"", ""Alan Blayney"", ""Alan Shearer"", ""Albert Grønbaek"", ""Alex McCarthy"", ""Alex Oxlade-Chamberlain"", ""Alex Pearce"", ""Alexander Arnold Mezan"", ""Allen Tankard"", ""Andreas Jakobsson"", ""Andrew Davies"", ""Andrew Surman"", ""Andrey Kanchelskis"", ""Angus Gunn"", ""Anthony Pulis"", ""Armando Broja"", ""Armel Bella-Kotchap"", ""Arron Davies"", ""Artur Boruc"", ""Bartosz Bialkowski"", ""Ben Brereton Díaz"", ""Ben Reeves"", ""Billy Sharp"", ""Bradley Wright-Phillips"", ""Brian Howard"", ""Callum McNish"", ""Calum Chambers"", ""Calum Davenport"", ""Cameron Archer"", ""Carlos Alcaraz"", ""Charlie Austin"", ""Charlie Taylor"", ""Chris Baird"", ""Chris Lucketti"", ""Chris Makin"", ""Christian Dailly"", ""Ché Adams"", ""Cosimo Sarli"", ""Cuco Martina"", ""Cyle Larin"", ""Cédric Soares"", ""Dale Stephens"", ""Damion Downs"", ""Dan Harding"", ""Dan Nlundulu"", ""Daniel Osvaldo"", ""Daniel Peretz"", ""Danny Butterfield"", ""Danny Fox"", ""Danny Guthrie"", ""Danny Higginbotham"", ""Danny Ings"", ""Danny Seaborne"", ""Darren Kenton"", ""Darren Potter"", ""David Brooks"", ""David Connolly"", ""David McGoldrick"", ""David Prutton"", ""Dean Hammond"", ""Dean Richards"", ""Dejan Lovren"", ""Dennis Wise"", ""Dexter Blackstock"", ""Duje Caleta-Car"", ""Dušan Tadić"", ""Egil Østenstad"", ""Elias Jelert"", ""Eljero Elia"", ""Emmanuel Mayuka"", ""Eric Hassli"", ""Eric Nixon"", ""Eyal Berkovic"", ""Fabrice Fernandes"", ""Filip Djuricic"", ""Finn Azaz"", ""Fitz Hall"", ""Flynn Downes"", ""Fraser Forster"", ""Frazer Richardson"", ""Gareth Bale"", ""Gareth Taylor"", ""Garry Monk"", ""Gastón Ramírez"", ""Gavin Bazunu"", ""George Long"", ""Graeme Le Saux"", ""Graeme Murty"", ""Graziano Pellè"", ""Grégory Vignal"", ""Guido Carrillo"", ""Guly"", ""Harlee Dean"", ""Harrison Reed"", ""Harry Lewis"", ""Hassan Kachloul"", ""Henri Camara"", ""Iago Falque"", ""Ian Pearce"", ""Ibrahima Diallo"", ""Jack Cork"", ""Jack Rose"", ""Jack Saville"", ""Jack Stephens"", ""Jacob Mellis"", ""Jake Hesketh"", ""James Beattie"", ""James Bree"", ""James Shea"", ""James Ward-Prowse"", ""Jamie Redknapp"", ""Jan Bednarek"", ""Jan-Paul Saeijs"", ""Jannik Vestergaard"", ""Jason Puncheon"", ""Jay Robinson"", ""Jay Rodríguez"", ""Jeff Kenna"", ""Jelle Van Damme"", ""Jermaine Wright"", ""Jim Brennan"", ""Joachim Kayi Sanda"", ""Joe Aribo"", ""Joe Lumley"", ""Joe Rothwell"", ""Jon Otsemobor"", ""Jonathan Forte"", ""Jordy Clasie"", ""Jos Hooiveld"", ""Joseph Mills"", ""Josh Sims"", ""Joshua Quarshie"", ""José Fonte"", ""Juan"", ""Juan Larios"", ""Juanmi"", ""Jérémy Pied"", ""Kamaldeen Sulemana"", ""Kasey Keller"", ""Kelvin Davis"", ""Kenwyne Jones"", ""Kevin Danso"", ""Kevin Miller"", ""Kevin Phillips"", ""Kuryu Matsuki"", ""Kyle Walker-Peters"", ""Lee Barnard"", ""Lee Holmes"", ""Lee Molyneux"", ""Leon Best"", ""Lesley Ugochukwu"", ""Lloyd Isgrove"", ""Luke Shaw"", ""Luís Boa Morte"", ""Lyanco"", ""Léandre Griffit"", ""Léo Scienza"", ""Maarten Stekelenburg"", ""Mads Roerslev"", ""Maik Taylor"", ""Manolo Gabbiadini"", ""Mario Lemina"", ""Martin Cranie"", ""Martin Thomas"", ""Martín Cáceres"", ""Mason Holgate"", ""Mateus Fernandes"", ""Mateusz Lis"", ""Matt Crowell"", ""Matt Targett"", ""Matthew Bound"", ""Matthew Robinson"", ""Maxwel Cornet"", ""Maya Yoshida"", ""Michael Obafemi"", ""Michail Antonio"", ""Mike Williamson"", ""Mislav Orsic"", ""Mohamed Elyounoussi"", ""Mohammed Salisu"", ""Morgan Schneiderlin"", ""Mouez Hassen"", ""Moussa Djenepo"", ""Nathan Dyer"", ""Nathan Redmond"", ""Nathan Tella"", ""Nathan Wood"", ""Nathaniel Clyne"", ""Neil Maddison"", ""Neil McCann"", ""Neil Moss"", ""Neil Shipperley"", ""Nicholas Bignall"", ""Nigel Quashie"", ""Olly Lancashire"", ""Oriol Romeu"", ""Oscar Gobern"", ""Paul Jones"", ""Paul Murray"", ""Paul Onuachu"", ""Paul Smith"", ""Paul Wotton"", ""Paulo Gazzaniga"", ""Peter Crouch"", ""Peter Madsen"", ""Philip Ifil"", ""Pierre-Emile Højbjerg"", ""Radhi Jaïdi"", ""Richard Chaplow"", ""Rickie Lambert"", ""Rod Wallace"", ""Romain Gasmi"", ""Romain Perraud"", ""Roméo Lavia"", ""Ronnie Edwards"", ""Ronnie Ekelund"", ""Rory Delap"", ""Ross Stewart"", ""Rudi Skacel"", ""Ryan Bertrand"", ""Ryan Dickson"", ""Ryan Doble"", ""Ryan Fraser"", ""Ryan Manning"", ""Ryan Smith"", ""Ryan Tafazolli"", ""Sadio Mané"", ""Sam Gallagher"", ""Sam Hoskins"", ""Sam McQueen"", ""Samuel Amo-Ameyaw"", ""Samuel Edozie"", ""Scott McDonald"", ""Shane Long"", ""Shea Charles"", ""Simon Gillett"", ""Sofiane Boufal"", ""Sonnie Davis"", ""Stephen Crainey"", ""Stern John"", ""Steve Davis"", ""Steve De Ridder"", ""Steve Guppy"", ""Steven Caulker"", ""Steven Davis"", ""Stuart Anderson"", ""Stuart Armstrong"", ""Stuart Ripley"", ""Stuart Taylor"", ""Sékou Mara"", ""Tadanari Lee"", ""Takumi Minamino"", ""Taylor Harwood-Bellis"", ""Theo Walcott"", ""Tim Flowers"", ""Tim Sparv"", ""Tino Livramento"", ""Toby Alderweireld"", ""Tom Fellows"", ""Tomas Pekhart"", ""Tomasz Hajto"", ""Tommy Forecast"", ""Tommy Widdrington"", ""Tony Garrod"", ""Trond Soltvedt"", ""Tyler Dibling"", ""Uwe Rösler"", ""Victor Wanyama"", ""Vincent Péricard"", ""Virgil van Dijk"", ""Wayne Bridge"", ""Wayne Thomas"", ""Welington"", ""Wesley Hoedt"", ""Will Smallbone"", ""Willy Caballero"", ""Yan Valery"", ""Yoann Folly"", ""Yukinari Sugawara"", ""Zak Jones"", ""Zoltán Lipták""]"
3,Mateus Fernandes,Portugal,Midfield,4,2,Played for West Ham United,West Ham United,"[""Played for Southampton"", ""Played for West Ham United""]","[""Southampton"", ""West Ham United""]","[""Calum Davenport"", ""Christian Dailly"", ""Danny Ings"", ""David Connolly"", ""Eyal Berkovic"", ""Flynn Downes"", ""Henri Camara"", ""Ian Pearce"", ""James Ward-Prowse"", ""José Fonte"", ""Kyle Walker-Peters"", ""Luís Boa Morte"", ""Mateus Fernandes"", ""Maxwel Cornet"", ""Michail Antonio"", ""Nigel Quashie"", ""Wayne Bridge""]"
3,Mateus Fernandes,Portugal,Midfield,4,3,Played for Sporting CP,Sporting CP,"[""Played for Southampton"", ""Played for West Ham United"", ""Played for Sporting CP""]","[""Southampton"", ""West Ham United"", ""Sporting CP""]","[""Luís Boa Morte"", ""Mateus Fernandes""]"
